Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
34,33,1/5/2013,23-132,HOU,@,CLE,W (+8),1,37:56:00,6,17,0.353,3,9,0.333,14,15,0.933,0,2,2,3,7,1,5,3,29,23.3,2
35,34,1/8/2013,23-135,HOU,,LAL,W (+13),1,39:31:00,11,19,0.579,1,4,0.25,8,8,1,0,6,6,9,0,0,4,2,31,25.4,11
36,35,1/9/2013,23-136,HOU,@,NOH,L (-9),1,40:35:00,9,18,0.5,2,4,0.5,5,6,0.833,0,4,4,3,1,0,7,4,25,11.3,2
37,36,1/11/2013,23-138,HOU,@,BOS,L (-12),1,39:51:00,9,19,0.474,2,8,0.25,4,7,0.571,0,1,1,5,2,1,6,1,24,13.2,-7
38,37,1/12/2013,23-139,HOU,@,PHI,L (-7),1,44:54:00,10,19,0.526,2,9,0.222,7,8,0.875,1,8,9,6,2,0,4,3,29,23.4,-9
39,38,1/15/2013,23-142,HOU,,LAC,L (-8),1,35:11:00,8,20,0.4,2,9,0.222,5,6,0.833,0,4,4,3,1,0,5,4,23,9.5,-8
40,39,1/16/2013,23-143,HOU,@,DAL,L (-5),1,37:23:00,5,23,0.217,1,8,0.125,9,12,0.75,0,8,8,7,3,0,4,5,20,9,-6
41,40,1/18/2013,23-145,HOU,@,IND,L (-10),1,41:16:00,5,19,0.263,3,7,0.429,4,5,0.8,1,4,5,7,1,4,5,0,17,10.9,-17
42,41,1/19/2013,23-146,HOU,@,MIN,L (-13),1,38:55:00,5,18,0.278,0,7,0,8,10,0.8,4,3,7,5,2,0,4,5,18,9.8,-20
43,42,1/21/2013,23-148,HOU,@,CHA,W (+6),1,41:27:00,5,20,0.25,0,5,0,19,21,0.905,2,5,7,7,2,0,4,2,29,21.2,-1
44,43,1/23/2013,23-150,HOU,,DEN,L (-10),1,39:09:00,8,17,0.471,2,6,0.333,5,5,1,0,3,3,7,1,0,7,3,23,12.9,-16
45,44,1/25/2013,23-152,HOU,@,NOH,W (+18),1,35:44:00,8,15,0.533,2,3,0.667,12,12,1,1,3,4,8,1,0,8,2,30,22.1,4
46,45,1/26/2013,23-153,HOU,,BRK,W (+13),1,34:02:00,7,15,0.467,2,5,0.4,13,14,0.929,1,2,3,7,2,1,0,1,29,29.4,-1
47,46,1/28/2013,23-155,HOU,@,UTA,W (+45),1,27:40:00,8,15,0.533,1,5,0.2,8,8,1,1,2,3,3,1,1,0,1,25,22.4,18
48,47,1/30/2013,23-157,HOU,@,DEN,L (-8),1,41:53:00,6,13,0.462,1,2,0.5,8,12,0.667,2,3,5,4,2,0,6,4,21,12.2,-3
49,48,2/2/2013,23-160,HOU,,CHA,W (+14),1,40:24:00,6,11,0.545,1,3,0.333,8,9,0.889,0,11,11,11,1,1,3,4,21,23.4,16
50,49,2/5/2013,23-163,HOU,,GSW,W (+31),1,30:13:00,5,11,0.455,4,5,0.8,4,8,0.5,0,2,2,7,3,0,1,2,18,17.4,22
51,50,2/6/2013,23-164,HOU,@,MIA,L (-6),1,40:45:00,10,16,0.625,4,7,0.571,12,13,0.923,2,10,12,7,3,0,4,3,36,35.5,-7
52,51,2/8/2013,23-166,HOU,,POR,W (+15),1,37:47:00,13,16,0.813,4,5,0.8,5,6,0.833,1,6,7,11,1,0,3,2,35,36,21
