Play,Rk,G,Date,Age,Tm,HorA,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BoxPM
SK,11,11,5/24/1997,31-239,CHI,@,MIA,W (+24),0,21:30,0,5,0,0,1,0,3,3,1,0,1,1,1,3,0,1,1,3,2.1,2
SK,12,12,5/26/1997,31-241,CHI,@,MIA,L (-7),0,11:23,1,1,1,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,2
SK,13,13,5/28/1997,31-243,CHI,,MIA,W (+13),0,12:53,2,3,0.667,1,2,0.5,1,1,1,0,0,0,0,1,0,0,3,6,4.5,2
SK,14,14,6/1/1997,31-247,CHI,,UTA,W (+2),0,6:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,2
SK,15,15,6/4/1997,31-250,CHI,,UTA,W (+12),0,18:43,2,6,0.333,2,5,0.4,2,2,1,0,1,1,1,1,1,1,1,8,5.9,2
SK,16,16,6/6/1997,31-252,CHI,@,UTA,L (-11),0,19:01,3,6,0.5,1,3,0.333,0,0,,1,0,1,1,1,0,0,2,7,5.6,2
SK,17,17,6/8/1997,31-254,CHI,@,UTA,L (-5),0,22:55,1,5,0.2,0,4,0,0,0,,0,0,0,2,2,0,0,2,2,1.5,2
SK,18,18,6/11/1997,31-257,CHI,@,UTA,W (+2),0,24:15:00,0,3,0,0,2,0,0,0,,0,2,2,1,0,0,1,1,0,-2.2,2
SK,19,19,6/13/1997,31-259,CHI,,UTA,W (+4),0,25:00:00,3,5,0.6,1,2,0.5,2,2,1,0,1,1,0,0,0,0,3,9,5.8,2
SK,1,1,4/26/1996,30-212,CHI,,MIA,W (+17),0,27:00:00,1,3,0.333,1,3,0.333,5,6,0.833,0,1,1,3,2,0,0,1,8,9.9,3
SK,2,2,4/28/1996,30-214,CHI,,MIA,W (+31),0,22:00,3,7,0.429,1,4,0.25,6,6,1,0,2,2,4,0,0,1,3,13,10.5,3
SK,3,3,5/1/1996,30-217,CHI,@,MIA,W (+21),0,23:00,2,5,0.4,1,3,0.333,2,2,1,0,1,1,3,1,0,1,0,7,6.7,3
SK,4,4,5/5/1996,30-221,CHI,,NYK,W (+7),0,15:00,3,6,0.5,2,4,0.5,0,0,,0,1,1,0,0,0,2,0,8,3.3,3
